Performance in MLUPS: 38.56460200085427
         13472138 function calls (13394326 primitive calls) in 85.614 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      206    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\path.py:99(__init__)
      496    0.001    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:840(<listcomp>)
   150/24    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\sre_compile.py:71(_compile)
      868    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\colors.py:106(_is_nth_color)
     2353    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1530    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1304(<genexpr>)
1673/1014    0.001    0.000    0.003    0.000 {built-in method builtins.hash}
      250    0.001    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:1480(transform)
        1    0.001    0.001    0.003    0.003 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:1643(_unpack)
       22    0.001    0.000    0.047    0.002 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\axis.py:57(__init__)
     5510    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1157    0.001    0.000    0.031    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\_api\__init__.py:101(check_in_list)
      439    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
     1212    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
      369    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:872(get_siblings)
        2    0.001    0.000    0.001    0.000 {method 'get_charmap' of 'matplotlib.ft2font.FT2Font' objects}
 1032/529    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:2409(<lambda>)
      512    0.001    0.000    0.018    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:1141(get_char_width)
